Timestamp,Do you feel safe biking in Louisville?,What problems do you have with biking in Louisville currently?,What neighborhoods do you feel safe biking?,What neighborhoods do you NOT feel safe biking?,What intersection(s) could be improved?,"If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?","If you could fix one thing in Louisville specific to bike safety or infrastructure, what would it be?"
9/28/2022 9:40:15,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Indiana - New Albany, Indiana - Jeffersonville, River Road - Waterfront, I do not feel safe biking in Louisville",,"Jefferson and Baxter, Chestnut and Broadway","No more cut off roads, safer intersections","No more cut off roads, safer intersections"
9/28/2022 10:13:36,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, River Road - Waterfront","Downtown, South End",,Connected and guarded bike lanes,Connected and guarded bike lanes
9/28/2022 10:13:56,No,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe",I do not feel safe biking in Louisville,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End","I don't feel safe biking in Louisville and we need to implement a NETWORK of connected, protected bike lanes in this city!",Build protected bike lanes. And make them connected to one another.,Build protected bike lanes. And make them connected to one another.
9/28/2022 10:14:37,Yes,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland","River Road - Waterfront, Clifton, South End",Unknown,Designated bike lanes separated from vehicular lanes,Designated bike lanes separated from vehicular lanes
9/28/2022 10:15:01,Only with a large group,"Lights are too short, risk running red lights, Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville","Smoketown, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End",22nd and Portland Ave,I would choose to have protected bike lanes.,I would choose to have protected bike lanes.
9/28/2022 10:15:33,Yes,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Highlands, Indiana - New Albany, Indiana - Jeffersonville","Shelby Park, Downtown, River Road - Waterfront",Grinstead/Lexington (wait FOREVER with no shade for the light),Protected bike lane network. We have none (flex posts on 1/4 mile by Tyler Park don't count),Protected bike lane network. We have none (flex posts on 1/4 mile by Tyler Park don't count)
9/28/2022 10:16:11,Only with a large group,"Car traffic is too fast / dangerous, Speed Limits are too high for car traffic, Bike lanes are not protected or safe, Limited connectivity","Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland","Highlands, River Road - Waterfront, Clifton, South End, I do not feel safe biking in Louisville","All intersections with Broadway, Main, Market, Baxter, Bardstown, Frankfort, Lexington, Preston, Goss, Brownsboro, etc. ",Protected infrastructure,Protected infrastructure
9/28/2022 10:17:45,Only with a large group,"Lights are too short, risk running red lights, Bike lanes are not protected or safe, Limited connectivity","Highlands, Shelby Park, Indiana - Jeffersonville","Downtown, West End - Russell, West End- Portland, River Road - Waterfront, South End",,Educate drivers on proper interaction with cyclists and install barriers to protect bike lanes,Educate drivers on proper interaction with cyclists and install barriers to protect bike lanes
9/28/2022 10:20:50,Only with a large group,"Car traffic is too fast / dangerous, Bike lanes are not protected or safe, Limited connectivity","Highlands, Smoketown, Shelby Park, Indiana - New Albany, Indiana - Jeffersonville, West End- Portland, Old Louisville, Germantown","River Road - Waterfront, Clifton",All of them,Wider bike lanes that connect more places throughout the city,Wider bike lanes that connect more places throughout the city
9/28/2022 10:21:41,Yes,Car traffic is too fast / dangerous,"Highlands, Smoketown, Shelby Park, Downtown, Indiana - New Albany, Indiana - Jeffersonville, West End - Russell, West End- Portland, River Road - Waterfront, Clifton, South End, Old Louisville, Germantown",,n/a,Get people to stop stealing my damn bike. I've had three stolen and I've fkn had it lol,Get people to stop stealing my damn bike. I've had three stolen and I've fkn had it lol
